step,train_loss,val_loss,val_acc
400,1.171104073524475,1.287940502166748,0.3518
800,1.213668704032898,1.463871717453003,0.3598
1200,1.1432970762252808,1.0269100666046143,0.5072
1600,1.014201045036316,1.2338783740997314,0.4092
2000,0.9005787372589111,1.2223702669143677,0.4748
2400,0.7964945435523987,0.9035980701446533,0.5836
2800,0.704519510269165,1.1868746280670166,0.5404
3200,0.611049234867096,0.7640566229820251,0.6776
3600,0.5353327393531799,1.490471601486206,0.4694
4000,0.5285037755966187,0.8187241554260254,0.6564
4400,0.5135912299156189,0.9121084213256836,0.6382
4800,0.5167491436004639,1.2030454874038696,0.5886
5200,0.44179102778434753,3.2420573234558105,0.504
5600,0.2163616418838501,9.786134719848633,0.3334
6000,3.038607792404946e-05,14.733390808105469,0.3322
